UID:3125124,﻿Name:HERR B,﻿Verification:432151
﻿id,Time,Trade Type,Instrument,Type,Amount,Unit,PL,Fee,Position Change,Position Balance,Balance Change,Balance,Unit
﻿123895319257231,2022-06-13 07:00:00,Spot,ETH-USDT,Buy,0.01637000,ETH,0E-8,-0.00001637,0E-8,0E-8,0.01635363,0.01638609,ETH
﻿123895319257231,2022-06-13 07:00:00,Spot,ETH-USDT,Sell,21.75343820,ETH,0E-8,0E-8,0E-8,0E-8,-21.75343820,23.79578440,USDT
﻿123895319257231,2022-06-13 05:00:00,Spot,BTC-USDT,Buy,0.00055862,BTC,0E-8,-5.6E-7,0E-8,0E-8,0.00055806,0.00085588,BTC
﻿123895319257231,2022-06-13 05:00:00,Spot,BTC-USDT,Sell,14.17861353,BTC,0E-8,0E-8,0E-8,0E-8,-14.17861353,45.54922260,USDT
﻿123895319257231,2022-06-13 05:00:00,Spot,ETH-USDT,Sell,0.01597200,ETH,0E-8,0E-8,0E-8,0E-8,-0.01597200,0.00003246,ETH
﻿123895319257231,2022-06-13 05:00:00,Spot,ETH-USDT,Buy,21.54143640,ETH,0E-8,-0.02154144,0E-8,0E-8,21.51989496,59.72783613,USDT
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-USDT,Buy,0.00319900,ETH,0E-8,-0.00000320,0E-8,0E-8,0.00319580,0.01600446,ETH
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-USDT,Sell,4.39014765,ETH,0E-8,0E-8,0E-8,0E-8,-4.39014765,38.20794117,USDT
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-BTC,Sell,0.00319800,ETH,0E-8,0E-8,0E-8,0E-8,-0.00319800,0.01280866,ETH
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-BTC,Buy,0.00016853,ETH,0E-8,-1.7E-7,0E-8,0E-8,0.00016837,0.00029781,BTC
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-USDT,Sell,4.22433232,ETH,0E-8,0E-8,0E-8,0E-8,-4.22433232,42.59808882,USDT
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-USDT,Buy,0.00307600,ETH,0E-8,-0.00000308,0E-8,0E-8,0.00307292,0.01600666,ETH
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-BTC,Sell,0.00242700,ETH,0E-8,0E-8,0E-8,0E-8,-0.00242700,0.01293374,ETH
﻿123895319257231,2022-06-13 03:00:00,Spot,ETH-BTC,Buy,0.00012790,ETH,0E-8,-1.3E-7,0E-8,0E-8,0.00012777,0.00012945,BTC
﻿123895319257231,2022-06-12 17:00:00,Spot,XCH-USDT,Sell,23.32447718,XCH,0E-8,0E-8,0E-8,0E-8,-23.32447718,46.82242114,USDT
﻿123895319257231,2022-06-12 17:00:00,Spot,XCH-USDT,Buy,0.80791400,XCH,0E-8,-0.00080791,0E-8,0E-8,0.80710609,0.80872928,XCH
﻿123895319257231,2022-06-12 17:00:00,Spot,APE-USDT,Buy,5.24319500,APE,0E-8,-0.00524320,0E-8,0E-8,5.23795181,5.24878755,APE
﻿123895319257231,2022-06-12 17:00:00,Spot,APE-USDT,Sell,23.34165550,APE,0E-8,0E-8,0E-8,0E-8,-23.34165550,70.14689832,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Buy,0.01534500,ETH,0E-8,-0.00001535,0E-8,0E-8,0.01532966,0.01536074,ETH
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Sell,23.35202100,ETH,0E-8,0E-8,0E-8,0E-8,-23.35202100,93.48855382,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Sell,0.01550400,ETH,0E-8,0E-8,0E-8,0E-8,-0.01550400,0.00003108,ETH
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Buy,23.57321184,ETH,0E-8,-0.02357321,0E-8,0E-8,23.54963863,116.84057482,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,XCH-USDT,Sell,0.81036700,XCH,0E-8,0E-8,0E-8,0E-8,-0.81036700,0.00162319,XCH
﻿123895319257231,2022-06-12 16:00:00,Spot,XCH-USDT,Buy,23.37908795,XCH,0E-8,-0.02337909,0E-8,0E-8,23.35570886,93.29093619,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,APE-USDT,Sell,5.40925600,APE,0E-8,0E-8,0E-8,0E-8,-5.40925600,0.01083574,APE
﻿123895319257231,2022-06-12 16:00:00,Spot,APE-USDT,Buy,23.76718901,APE,0E-8,-0.02376719,0E-8,0E-8,23.74342182,69.93522733,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Buy,0.01403200,ETH,0E-8,-0.00001403,0E-8,0E-8,0.01401797,0.01553508,ETH
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Sell,2.22699068,ETH,0E-8,0E-8,0E-8,0E-8,-2.22699068,67.21019799,USDT
﻿123895319257231,2022-06-12 16:00:00,Spot,ETH-USDT,Buy,0.00148700,ETH,0E-8,-0.00000149,0E-8,0E-8,0.00148551,0.00151711,ETH
